PROYECTO_ID;ORIGEN_ID;CLIENTE_ID;EMPRESA_ID;FOLIO;CORTO;NOMBRE;CONTRATO;HORAS;COSTO;COSTO_DESCUENTO;COSTO_TOTAL;INICIO;TERMINO;ESTATUS;BRM;DESCUENTO;ANEXO;ORDEN;ADMON;RESPONSABLE_VTA;CODIGO_PROYECTO;MONEDA_ID;COMENTARIOS;CODIGO_PRY_BANCO;RESPONSABLE_PRY_CLIENTE;RESPONSABLE_PTO;AREA_INTERNA_ID;PORCENTAJE_AVANCE;OPORTUNIDAD_ID;TIPO_SERVICIO_ID;PRIORIDAD;CONSECUTIVO;ANO;CODIGO_CLIENTE;ASIGNACION_ID;PROYECTO_ID;NOMINA_ID;ANO1;ene-01;feb-01;mar-01;abr-01;may-01;jun-01;jul-01;ago-01;sep-01;oct-01;nov-01;dic-01;ANO2;ene-02;feb-02;mar-02;abr-02;may-02;jun-02;jul-02;ago-02;sep-02;oct-02;nov-02;dic-02;ANO3;ene-03;feb-03;mar-03;abr-03;may-03;jun-03;jul-03;ago-03;sep-03;oct-03;nov-03;dic-03;ASIGNA_INICIO;ASIGNA_FIN
142;;5;1;;13-601 bSide BI;601 bSide BI;;1016;0;0;269700.77;02/01/2013;05/31/2013;CERRADO;;0;;;N;1;;21;;;;21;;;;1;Bajo;;;;325;142;21;2013;;72;144;176;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;;5;1;;13-601 bSide BI;601 bSide BI;;1016;0;0;269700.77;02/01/2013;05/31/2013;CERRADO;;0;;;N;1;;21;;;;21;;;;1;Bajo;;;;326;142;20;2013;;72;144;176;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;;11;1;;13-902 Poliza Soporte Gerbera;13-902 Poliza Soporte Gerbera;;168;;0;59162.07;03/01/2013;08/31/2013;CERRADO;;0;;;N;1;;21;;;;21;;;;1;Bajo;;;;337;147;66;2013;;;;;176;;;176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;;8;1;;13-901 Socios 2013;;;;0;0;0;01/01/2013;12/31/2013;CERRADO;;;;;S;1;;21;;;;21;;;;1;Bajo;;;;339;134;28;2013;;;;;;;;;;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;;11;1;;13-903 Actinver;13-903 Actinver;;1000;;;325557.5;11/01/2013;12/31/2013;CERRADO;;;;;N;1;;21;;;;21;;;;1;Bajo;;;;341;149;89;2013;;;;;;;;;;;152;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;;8;1;;13-902 Administrativos 2013;13-902 Administrativos 2013;;;;;0;01/01/2013;12/31/2013;CERRADO;;;;;S;1;;21;;;;21;;;;1;Bajo;;;;348;135;78;2013;;;;;;;;176;160;184;152;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;1;9;1;P13-1254;13-23 ST Osvelia;P13-1254 Interbank Payments And Wireless Transfer Regulation;1068088585;1120;674318.4;579913.84;481328.48;07/01/2013;02/28/2014;CERRADO;2451445;14;ITW Anexo 8;21054;N;1;;21;;;;21;;;;1;Bajo;;;;349;114;2;2013;;;;;;;128;;;;;;2014;176;68;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;375;154;45;2014;;160;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;376;154;22;2014;;;32;160;168;168;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;1;9;1;P14-248;14-04  Testers Scale Out II;14-04  Testers Scale Out II;1068146912;12268;4407138;4407138;3009499.88;02/01/2014;07/31/2014;CERRADO;2600650;0;Anexo 12;;N;1;;21;;;;21;;;;1;Bajo;;;;396;154;100;2014;;96;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
